match_id,inning,batting_team,bowling_team,over,ball,batsman,bowler,non_striker,runs_of_bat,extra_runs,total_runs,extras_type,is_wicket,player_dismissed,dismissal_kind,fielder
1359475,2,Gujarat Titans,Chennai Super Kings,0,2,WP Saha,DL Chahar,Shubman Gill,0,0,0,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,0,3,WP Saha,DL Chahar,Shubman Gill,0,0,0,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,0,4,WP Saha,DL Chahar,Shubman Gill,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,0,5,Shubman Gill,DL Chahar,WP Saha,2,0,2,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,0,6,Shubman Gill,DL Chahar,WP Saha,0,0,0,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,1,1,WP Saha,TU Deshpande,Shubman Gill,6,0,6,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,1,2,WP Saha,TU Deshpande,Shubman Gill,4,0,4,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,1,3,WP Saha,TU Deshpande,Shubman Gill,0,1,1,legbyes,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,1,4,Shubman Gill,TU Deshpande,WP Saha,0,0,0,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,1,5,Shubman Gill,TU Deshpande,WP Saha,4,0,4,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,1,6,Shubman Gill,TU Deshpande,WP Saha,0,0,0,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,2,1,WP Saha,DL Chahar,Shubman Gill,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,2,2,Shubman Gill,DL Chahar,WP Saha,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,2,3,WP Saha,DL Chahar,Shubman Gill,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,2,4,Shubman Gill,DL Chahar,WP Saha,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,2,5,WP Saha,DL Chahar,Shubman Gill,6,0,6,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,2,6,WP Saha,DL Chahar,Shubman Gill,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,3,1,WP Saha,RS Hangargekar,Shubman Gill,0,0,0,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,3,2,WP Saha,RS Hangargekar,Shubman Gill,0,1,1,noballs,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,3,3,WP Saha,RS Hangargekar,Shubman Gill,0,1,1,wides,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,3,4,WP Saha,RS Hangargekar,Shubman Gill,4,0,4,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,3,5,WP Saha,RS Hangargekar,Shubman Gill,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,3,6,Shubman Gill,RS Hangargekar,WP Saha,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,3,7,WP Saha,RS Hangargekar,Shubman Gill,0,0,0,,1,WP Saha,caught,S Dube
1359475,2,Gujarat Titans,Chennai Super Kings,3,8,B Sai Sudharsan,RS Hangargekar,Shubman Gill,4,0,4,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,4,1,Shubman Gill,TU Deshpande,B Sai Sudharsan,4,0,4,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,4,2,Shubman Gill,TU Deshpande,B Sai Sudharsan,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,4,3,B Sai Sudharsan,TU Deshpande,Shubman Gill,1,1,2,noballs,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,4,4,Shubman Gill,TU Deshpande,B Sai Sudharsan,6,0,6,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,4,5,Shubman Gill,TU Deshpande,B Sai Sudharsan,0,0,0,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,4,6,Shubman Gill,TU Deshpande,B Sai Sudharsan,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,4,7,B Sai Sudharsan,TU Deshpande,Shubman Gill,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,5,1,B Sai Sudharsan,MJ Santner,Shubman Gill,0,0,0,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,5,2,B Sai Sudharsan,MJ Santner,Shubman Gill,0,0,0,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,5,3,B Sai Sudharsan,MJ Santner,Shubman Gill,0,0,0,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,5,4,B Sai Sudharsan,MJ Santner,Shubman Gill,4,0,4,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,5,5,B Sai Sudharsan,MJ Santner,Shubman Gill,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,5,6,Shubman Gill,MJ Santner,B Sai Sudharsan,4,0,4,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,6,1,B Sai Sudharsan,RA Jadeja,Shubman Gill,1,0,1,,0,,,
